Student_ID,last_name,first_name,level,Email,address,status,major_declaration_id,enrollment_id
11947512,Randall,Tasha,Sophomore,vitae.aliquet@libero.net,P.O. Box 848  3407 Per St.,Active,740314240,624665782
13770235,Cervantes,Gay,Freshman,lectus.sit@Pellentesquetincidunt.net,388-1048 Conubia St.,Active,717352819,586136020
14028005,Oneill,Aubrey,Freshman,consequat.purus.Maecenas@porttitorscelerisque.net,8310 Pede St.,Active,631124476,656292646
21217120,Rasmussen,Kuame,Junior,nec.imperdiet@nuncinterdum.org,1154 Tincidunt Road,Inactive,439946054,525668018
21905807,Decker,Gray,Senior,pretium.aliquet.metus@rhoncusProin.com,9125 Ipsum Rd.,Active,629375833,550105704
48122576,Wright,Harriet,Junior,est.mollis@dolorelitpellentesque.edu,Ap #442-5851 Ut Avenue,Inactive,148851587,10953347
58023813,Fowler,Unity,Junior,tempus@orci.ca,7861 Ultrices Ave,Active,177332517,847764412
58814302,Alvarado,Victor,Sophomore,eros@adipiscingnon.ca,P.O. Box 891 7246 Augue Rd.,Inactive,676940661,882437056
61417945,Holcomb,Brennan,Freshman,luctus.vulputate@Nullam.org,842-4102 Orci. Street,Inactive,335073490,223232299
63917983,Coffey,Amaya,Senior,ante.iaculis.nec@nequenonquam.ca,3314 Tincidunt Rd.,Inactive,297543316,480145598
66129438,Salas,Gregory,Junior,ornare.elit@elementum.ca,719-2443 Placerat Avenue,Active,103673901,756250544
82096454,Williams,Serena,Senior,eleifend.nunc@nisiCum.org,P.O. Box 479  6213 Dui Ave,Active,195115878,846807774
115259608,Ball,Aristotle,Freshman,rhoncus.Proin@magnaseddui.co.uk,Ap #756-8087 Etiam Av.,Active,449759984,106118151
118840594,Levine,Quail,Freshman,pharetra.Nam.ac@adipiscingligulaAenean.org,P.O. Box 757 6598 Quisque Av.,Inactive,69362523,601237506
168076610,Horne,Deanna,Senior,ornare@molestie.co.uk,Ap #439-3597 Nunc Ave,Active,446013922,42098418
190418970,Kirkland,Madonna,Senior,tempor.diam@lobortisquispede.co.uk,Ap #847-9616 Nonummy Av.,Inactive,390340420,791222227
200563625,Fitzpatrick,Paula,Junior,parturient.montes.nascetur@nisiMaurisnulla.ca,P.O. Box 536 4310 Ligula. Av.,Inactive,541244133,517628749
205060643,Camacho,Bree,Senior,odio.vel.est@eleifend.co.uk,9715 In Rd.,Active,895005908,528236607
220605695,Russo,Palmer,Sophomore,diam.at.pretium@ProindolorNulla.co.uk,8544 Nullam Rd.,Inactive,693053688,595891763
233128305,Massey,Gemma,Junior,penatibus.et.magnis@ornaretortor.com,622-8119 Eros Av.,Inactive,685975856,948996970
261157770,Carrillo,Penelope,Senior,ac.feugiat@sitametconsectetuer.net,P.O. Box 434 2131 Sit St.,Inactive,223242660,567931605
263676348,Cross,Rama,Sophomore,amet.diam.eu@ullamcorpervelit.ca,Ap #998-7840 Placerat. St.,Active,494713571,257354118
281692483,Nieves,Malcolm,Junior,Integer.aliquam@fringillaeuismod.ca,160-4081 Nullam Road,Inactive,630897783,123141624
300100104,Witt,Hasad,Senior,nec.tempus.mauris@dictum.org,528-512 Est  Avenue,Inactive,535504179,247623820
302854740,Franco,Maisie,Freshman,sit.amet@aliquamadipiscing.org,P.O. Box 392  5935 Mauris St.,Active,957117112,60443421
309563088,Melton,Macy,Sophomore,lorem.luctus.ut@Morbinonsapien.co.uk,123-8463 Feugiat Rd.,Inactive,145807244,741300602
310271879,Burnett,Gretchen,Junior,sed.consequat.auctor@mi.com,P.O. Box 570 6262 Tristique Ave,Inactive,330083924,158383943
311073282,Bowen,Briar,Sophomore,ligula.Aliquam@hendreritidante.org,5242 Dui. Avenue,Active,737682096,950151563
312546070,Miller,Brady,Senior,Praesent.interdum@ligulaeu.ca,1200 Mauris St.,Active,872964580,303522734
325395374,Dodson,Halee,Sophomore,nec.luctus@sociisnatoque.com,Ap #764-9715 Eu Av.,Inactive,140341041,636957482
337051106,Mcclure,Porter,Freshman,vel@quisarcuvel.com,316-7759 Nonummy Avenue,Inactive,217194174,267496768
354625030,Contreras,Nomlanga,Senior,Fusce.mi.lorem@dapibus.com,1927 Bibendum Rd.,Active,123149536,542878079
354672818,Clements,Chanda,Senior,ut@ataugue.com,P.O. Box 916  9781 Suspendisse Rd.,Active,736372400,517170585
356235622,Austin,Myles,Freshman,lobortis.quam.a@risusNullaeget.org,9068 Elit Rd.,Inactive,614059574,7427396
360799126,Mcdowell,Honorato,Freshman,dignissim@aceleifend.org,1597 Sed St.,Inactive,71833743,978213593
361839582,Raymond,Alfreda,Sophomore,Donec@lectusante.com,835-3049 Ac St.,Inactive,826755290,16898637
368864310,Cherry,Charity,Senior,molestie.arcu.Sed@Praesenteudui.co.uk,Ap #820-9836 Suspendisse St.,Active,359610870,263352197
378054662,Nixon,Mark,Junior,nulla.In.tincidunt@euismodurna.co.uk,2522 Pede. Rd.,Inactive,995514163,967387275
381759000,Kinney,Natalie,Senior,volutpat.Nulla@arcu.org,646-6126 Dolor Avenue,Active,691130793,75332544
391102258,Weaver,Sandra,Sophomore,Donec.egestas@Quisqueornaretortor.org,893-1513 Non Rd.,Inactive,133794909,382720225
394022495,Cook,Maris,Sophomore,urna.Vivamus.molestie@ligulaNullam.com,P.O. Box 870 3007 Libero. St.,Active,632191524,56915259
412356412,Young,Tashya,Sophomore,dis@quis.com,209-1832 Adipiscing Rd.,Active,15349095,762598761
447277575,Aguilar,Linus,Junior,pellentesque@tempuslorem.co.uk,Ap #216-9520 Mi Rd.,Active,22729438,571062868
462585134,Wooten,Kibo,Freshman,netus@egestas.ca,311-2659 Diam. St.,Active,10311215,135176188
472224922,Dyer,Guy,Freshman,est@orciDonec.net,8002 Iaculis Rd.,Inactive,380602110,157666975
480065440,Oliver,Hakeem,Senior,augue.porttitor@consequatenim.com,7982 Tellus St.,Inactive,6072086,895258945
504711185,Cooke,Bree,Freshman,pellentesque@NullamnislMaecenas.com,6923 Cursus Road,Active,399801158,782594261
510247026,Fernandez,Mollie,Sophomore,lorem.ac.risus@mollisnec.com,391-563 Condimentum. Avenue,Inactive,9504556,444691711
532113263,Maldonado,Adrian,Freshman,neque.Nullam.ut@luctusutpellentesque.com,9273 Ligula. Street,Active,439038126,192585750
546011677,Emerson,Alana,Sophomore,Fusce@nibhPhasellusnulla.edu,Ap #317-1182 Integer Road,Inactive,279789564,99263402
552551798,Forbes,Ryder,Senior,Proin@sollicitudinorcisem.edu,P.O. Box 285 6433 Quam. St.,Inactive,59023051,36773810
554329276,Craig,Ariana,Junior,Curabitur.ut@Donecsollicitudinadipiscing.org,Ap #167-3614 Neque Ave,Inactive,827727330,65578999
571019694,Gillespie,Allen,Junior,rhoncus.id.mollis@scelerisque.org,325-3255 Pharetra. Avenue,Active,998283584,634512164
575922885,Sawyer,Leslie,Freshman,gravida.sit.amet@Nunc.net,Ap #499-9138 Lobortis Rd.,Active,754675155,42525691
593856479,Carter,Raven,Sophomore,Nunc.laoreet@acfeugiatnon.net,7946 Ut  Rd.,Inactive,225763960,360947089
594976607,Trujillo,Kibo,Junior,Lorem@magnisdisparturient.edu,Ap #729-1690 Integer Ave,Active,120349196,50857572
595772575,Jones,Quin,Sophomore,Morbi.sit@metus.org,1122 Cursus Ave,Active,261131494,426527305
595975251,Chavez,Christen,Sophomore,Donec@sedconsequatauctor.org,Ap #319-2888 Lacus. Rd.,Active,951271832,254260003
608908463,Golden,Natalie,Freshman,Cum.sociis.natoque@libero.edu,P.O. Box 114 4734 Dolor. Road,Active,546393539,744616228
627411721,Guy,Colt,Sophomore,urna@ultrices.ca,Ap #256-9829 Amet St.,Active,244260097,678272881
